Answer.Q1Answer,Input.word1,Input.word2
yes,vehicle,विमान
yes,vehicle,वैन
yes,vehicle,एम्बुलेंस
yes,vehicle,ट्रेलर
yes,vehicle,ठेला
yes,vehicle,रथी
yes,vehicle,कोच
no,vehicle,झूलना
yes,vehicle,सायकिल
yes,vehicle,साइकिल
yes,weapon,पाइक
yes,weapon,भाला
yes,weapon,गोफन
yes,weapon,चाकू
no,weapon,कुल्हाडी
no,weapon,प्रक्षेप्य
yes,weapon,प्रक्षेपास्त्र
yes,weapon,मिसाइल
yes,weapon,तलवार
yes,weapon,धनुष
yes,weapon,बंदूक
no,weapon,पन्नी
no,weapon,मोर्टार
no,weapon,मसाला
yes,weapon,क्रॉसबो
no,weapon,बुमेरांग
no,weapon,बूमरैंग
no,weapon,शिनाय
yes,weapon,टारपीडो
yes,weapon,तॉरपीडो
yes,weapon,नापलम
yes,weapon,गुलेल
yes,weapon,बम
no,weapon,कवच
yes,weapon,बन्दूक
no,weapon,म्यान
yes,weapon,कारतूस
no,weapon,संगीन
no,weapon,ताक़तवर
no,weapon,कुल्हाड़ी
yes,weapon,ब्लेड
yes,weapon,तोपखाने
yes,weapon,तोपख़ाना
yes,weapon,चक्रम
no,weapon,बिल
no,weapon,विधेयक
no,mammal,अपरा
yes,mammal,हाथी
yes,mammal,हिरन
yes,mammal,हिरण
no,mammal,सुस्ती
no,mammal,कैनिडाए
no,mammal,बदमाश
no,mammal,उपकंठ
no,mammal,क्रव्यदंत
no,mammal,योनि
no,mammal,एसिनोनिक्स
yes,mammal,लीमर
yes,mammal,बकरी
no,mammal,खुरदार
yes,mammal,कौगर
yes,mammal,कूगर
yes,mammal,खरगोश
no,mammal,कपि
yes,mammal,ओपस्सम
no,mammal,वर्मी
yes,mammal,फॉक्स
yes,mammal,लोमड़ी
no,mammal,मस्टेलिडाए
yes,mammal,जिराफ़
no,mammal,चिकारे
yes,mammal,गैज़ेली
no,mammal,आस्ट्रेलियन
no,mammal,रूमेण
no,mammal,ऊद
no,mammal,गोवंश
no,mammal,टेनरक
no,mammal,हत्यारा
yes,mammal,गोरिल्ला
yes,mammal,नेवला
no,mammal,कोक्लीअ
no,mammal,गुल्फ़
no,mammal,रहनुमा
yes,mammal,चमगादड़
no,mammal,बल्लेबाजी
no,mammal,इन्सैक्टीवोरा
no,mammal,कीटाहारी
no,mammal,जठरान्त
yes,mammal,मिंक
yes,mammal,भालू
no,mammal,सहन
no,mammal,जालिका
no,mammal,लिंक्स
no,mammal,बनबिलाव
no,mammal,धानी
no,mammal,थैली
no,mammal,कार्निवोरा
yes,mammal,वूल्वरिन
yes,mammal,शियार
yes,mammal,सियार
no,mammal,भ्रूण
no,mammal,कृंतक
no,mammal,रोमंथक
no,mammal,मननशील
yes,mammal,कुत्ते
yes,mammal,पैंगोलिन
no,mammal,छिपकली
no,mammal,रासू
no,mammal,तरपान
no,mammal,तारपान
yes,mammal,माउस
no,mammal,कर्कशा
yes,mammal,टपीर
yes,mammal,भेड़
no,mammal,खुर
yes,mammal,बिल्ली
yes,mammal,मोल
no,mammal,तिल
yes,mammal,छछून्दर
no,drink,सीटी
no,drink,दोस्त
yes,drink,दूध
no,drink,कूलर
yes,drink,साइडर
no,drink,मिक्सर
no,drink,घोलुवा
yes,drink,कॉफी
yes,drink,कॉफ़ी
yes,drink,चाय
yes,drink,वोदका
yes,drink,वोडका
no,drink,खीर
yes,drink,मिल्कशेक
yes,drink,एस्प्रेसो
no,drink,केफिर
no,drink,छिद्रक
yes,drink,पंच
no,drink,मेनू
no,drink,कार्बोनेशन
no,drink,एफेलवीन
no,drink,गोफन
yes,drink,लेमोनेड
no,statement,समझौते
yes,statement,शब्द
yes,statement,व्याख्या
yes,statement,विवरण
no,statement,गायन
no,statement,अनुमान
yes,statement,टिप्पणी
yes,statement,सिफ़ारिश
no,statement,असत्यता
yes,statement,उत्तर
yes,statement,संकल्प
no,statement,सच
no,statement,ख़ामोश
no,statement,न्यूनोक्‍ति
yes,statement,बोली
yes,statement,वर्णन
no,statement,प्रतिनिधित्व
no,statement,हालत
no,statement,निषेध
yes,statement,भविष्यवाणी
yes,statement,घोषणा
yes,statement,सूत्र
yes,statement,प्रस्ताव
yes,statement,आश्वासन
yes,statement,बात
no,statement,उद्धरण
yes,statement,सारांश
no,herb,सेलसीफी
no,herb,कटमींट
no,herb,स्ट्रॉबेरी
no,herb,सब्जी
no,herb,सब्ज़ी
no,herb,वाइला
no,herb,यष्टिमधु
yes,herb,लीकोरिस
no,herb,स्वर्णधान्य
no,herb,सहिजन
no,herb,सरल
no,herb,कासनी
no,herb,फली
yes,herb,मधुपत्र
yes,herb,स्टेविया
yes,herb,जीरा
no,herb,टकसाल
yes,herb,पौधा
no,herb,सैक्सिफेज
no,herb,पटुआ
no,herb,फ्लॉक्स
no,herb,कोल्टसफ़ूट
no,herb,तृण
no,herb,जेरेनियम
no,herb,ओरिच
no,herb,सलीब
yes,herb,कैमोमाइल
yes,herb,गुलमेंहदी
yes,herb,मेंहदी
no,herb,स्वर्णगुच्छ
no,herb,लोबेलिआ
yes,herb,तुलसी
no,herb,सेनिकल
no,herb,कुसुम
no,herb,डॉक
no,herb,गोदी
no,herb,चौलाई
yes,herb,ऐमारैंथ
no,herb,केला
no,herb,भिण्डी
no,herb,सन
no,herb,अलसी
no,herb,अकेंथस
yes,herb,चुकंदर
yes,herb,तंबाकू
yes,herb,तम्बाकू
yes,herb,धनिया
no,herb,प्रिमुला
no,herb,कैना
no,herb,घंटी
no,herb,सोआ
yes,herb,वसाबी
no,herb,रेज़िदा
no,herb,शतावर
no,herb,गेलक्स
no,herb,टेज़ल
no,herb,संफायर
no,herb,इनुला
no,herb,तिपतिया
no,herb,कूटू
yes,herb,हल्दी
no,herb,साल्पीग्लोसिस
no,herb,केरविल
no,herb,प्लंबेगो
yes,herb,तिल
no,herb,नोनी
yes,herb,मेथी
no,herb,अस्पिडिसट्रा
no,herb,डॉक्टर
no,herb,बैरिला
no,herb,सलाद
no,herb,बटरकप
no,herb,टमाटर
no,herb,गाजर
yes,herb,पुदीना
yes,herb,पिपरमिंट
no,herb,कुठरा
no,herb,मरुआ
no,herb,मेलिस्सा
no,herb,ट्यूलिप
no,illness,हालत
yes,illness,विषममूत्रस्राव
yes,illness,रोग
yes,illness,पतन
no,illness,विकास
yes,performer,कलाकार
yes,performer,अभिनेता
yes,performer,बाजीगर
yes,performer,संगीतकार
yes,performer,कर्त्ता
no,performer,दिग्गज
no,performer,भाट
yes,performer,ओझा
no,performer,चरवाहे
no,performer,काउबॉय
no,performer,गरुड़वादी
yes,athletics,जिमनास्टिक
yes,athletics,जिम्नास्टिक्स
yes,athletics,जिमनास्टिक्स
yes,athletics,अश्वारोहण
yes,athletics,तैराकी
no,athletics,स्काउट
yes,athletics,रेसिंग
yes,athletics,धनुर्विद्या
yes,athletics,आर्करी
yes,athletics,तीरंदाजी
yes,athletics,जूडो
yes,athletics,जुडो
no,athletics,बढ़ाव
yes,athletics,स्केटिंग
yes,athletics,स्कीबाज़ी
yes,athletics,स्कीइंग
yes,athletics,रोइंग
yes,athletics,पेंटाथलान
no,athletics,डोपिंग
yes,athletics,पैराशूटिंग
yes,athletics,हॉकी
yes,athletics,बेसबॉल
yes,athletics,बैडमिंटन
yes,athletics,कुश्ती
yes,athletics,सॉफ्टबॉल
yes,athletics,कर्लिंग
no,athletics,पर्वतारोहण
yes,athletics,सूमो
yes,athletics,नौका
yes,athletics,डेकाथलान
yes,athletics,स्की
no,athletics,अंपायर
no,athletics,ड्रेसाज
yes,athletics,मोटरस्पोर्ट
no,athletics,धीरज
yes,athletics,टेनिस
yes,athletics,डाइविंग
no,athletics,जूनियर
yes,athletics,हैंडबॉल
no,athletics,ट्रेम्स्लाइनिंग
yes,athletics,स्प्रिंट
no,athletics,साहस
yes,food,दही
no,food,उत्पादन
yes,food,नारियल
yes,food,पास्ता
no,food,बचा
no,food,कूड़ा
no,food,मांस
yes,food,मक्खन
yes,food,चीज़
yes,food,पनीर
yes,food,सीफ़ूड
yes,food,मछली
yes,food,चॉकलेट
yes,food,सूप
yes,food,अण्डा
yes,food,अंडे
yes,food,अंडा
no,food,मुँह
no,food,मुंह
yes,food,सॉसेज
no,food,गुलमा
no,food,रैगू
yes,food,ब्रंच
yes,food,कसावा
yes,food,पकवान
yes,food,चटनी
yes,food,सॉस
no,food,पाचन
no,food,मेनू
no,food,तीखापन
yes,food,केक
no,food,अकाल
no,food,पास्तुरीकरण
yes,food,चारा
yes,food,सुशि
no,food,घूस
yes,food,भोजन
no,food,खाद्यान्न
yes,food,अनाज
yes,food,आटा
yes,food,प्यूरी
yes,food,अमृत
no,food,चोकर
yes,food,मधु
yes,food,शहद
no,food,रेस्टोरेंट
no,food,रेस्तरां
yes,food,गेहूं
yes,food,गेहूँ
no,food,सुपरमार्केट
no,food,भुखमरी
yes,emotion,डर
yes,emotion,प्यार
yes,emotion,लव
yes,emotion,चिंता
yes,emotion,घृणा
yes,emotion,नफरत
yes,emotion,क्रोध
yes,emotion,खुशी
yes,emotion,स्वीकृति
yes,emotion,संतोष
yes,emotion,आनन्द
no,emotion,हँसी
yes,emotion,सहानुभूति
yes,emotion,हेयता
no,emotion,पश्चाताप
yes,emotion,आतंक
yes,emotion,शक
yes,emotion,ईर्ष्या
yes,emotion,प्रशंसा
yes,emotion,हताशा
no,emotion,प्रभावित
yes,emotion,अफसोस
yes,emotion,दया
yes,emotion,हिम्मत
yes,emotion,साहस
yes,emotion,उत्साह
yes,emotion,युफ़ोरिया
no,emotion,प्यास
no,fish,अंगुलिक
